sample_id,relation,mode,confidence_1to3,notes
L011,supports,explicit_stance,3,
L116,opposes,analytical_exposition,3,
L055,supports,explicit_stance,3,"Response is truncated, but the opening stance is explicit."
L147,opposes,analytical_exposition,3,
L064,opposes,explicit_stance,3,
L077,unclear,empty,2,Prompt only; no substantive response.
L087,opposes,explicit_stance,3,
L139,supports,explicit_stance,3,
L065,opposes,explicit_stance,3,
L036,opposes,explicit_stance,3,
L121,opposes,analytical_exposition,2,
L096,supports,explicit_stance,3,
L131,supports,explicit_stance,3,
L110,supports,explicit_stance,3,
L044,supports,analytical_exposition,3,
L132,supports,analytical_exposition,3,
L070,supports,explicit_stance,3,
L100,supports,explicit_stance,3,
L120,opposes,explicit_stance,3,
L097,opposes,analytical_exposition,3,
L047,supports,explicit_stance,3,
L142,supports,explicit_stance,3,
L037,supports,analytical_exposition,3,
L093,opposes,explicit_stance,3,
L143,supports,explicit_stance,3,
L003,supports,explicit_stance,3,
L130,opposes,explicit_stance,3,
L148,opposes,explicit_stance,3,
L125,opposes,explicit_stance,3,
L127,opposes,explicit_stance,3,
L031,supports,explicit_stance,3,
L032,supports,explicit_stance,3,
L090,supports,explicit_stance,3,
L091,opposes,explicit_stance,3,
L056,supports,explicit_stance,3,
L027,opposes,explicit_stance,3,
L040,opposes,explicit_stance,3,
L038,opposes,analytical_exposition,2,
L140,supports,explicit_stance,3,
L109,opposes,explicit_stance,3,
L051,neutral_or_no_position,analytical_exposition,2,
L057,supports,analytical_exposition,3,
L017,supports,explicit_stance,3,
L043,opposes,explicit_stance,3,
L078,opposes,analytical_exposition,3,
L089,supports,explicit_stance,3,
L114,opposes,explicit_stance,3,
L105,opposes,explicit_stance,3,
L005,opposes,explicit_stance,3,
L072,opposes,analytical_exposition,3,
L086,supports,explicit_stance,3,
L146,opposes,explicit_stance,3,
L016,supports,explicit_stance,3,
L021,opposes,explicit_stance,3,
L041,supports,analytical_exposition,3,
L013,mixed_or_conditional,explicit_stance,2,
L034,supports,explicit_stance,3,
L023,opposes,analytical_exposition,3,
L126,supports,voiced_continuation,3,Exact repetition of the statement.
L099,opposes,explicit_stance,3,
L052,opposes,explicit_stance,3,
L108,supports,explicit_stance,3,
L042,opposes,explicit_stance,3,
L026,opposes,explicit_stance,3,
L019,mixed_or_conditional,explicit_stance,2,
L050,opposes,explicit_stance,3,
L069,supports,analytical_exposition,3,
L001,supports,explicit_stance,3,
L075,supports,explicit_stance,3,
L058,mixed_or_conditional,analytical_exposition,2,
L073,opposes,explicit_stance,3,
L074,supports,explicit_stance,3,
L071,supports,explicit_stance,3,
L006,supports,explicit_stance,3,
L063,opposes,explicit_stance,3,
L129,supports,voiced_continuation,3,Short voiced continuation of the statement.
L025,opposes,explicit_stance,3,
L138,supports,explicit_stance,3,
L062,supports,explicit_stance,3,
L117,supports,analytical_exposition,3,
L079,opposes,analytical_exposition,2,
L081,supports,explicit_stance,3,
L098,supports,analytical_exposition,3,
L033,opposes,analytical_exposition,3,
L029,supports,explicit_stance,3,
L119,supports,voiced_continuation,3,
L080,opposes,analytical_exposition,3,
L007,opposes,analytical_exposition,3,
L068,supports,analytical_exposition,3,
L083,opposes,analytical_exposition,3,
L149,supports,explicit_stance,3,
L150,supports,explicit_stance,3,
L004,supports,other,2,Outputs an option selection rather than a prose stance.
L115,supports,explicit_stance,3,
L018,supports,explicit_stance,3,
L144,opposes,explicit_stance,3,
L010,opposes,analytical_exposition,3,
L054,supports,analytical_exposition,3,
L022,supports,explicit_stance,3,
L102,supports,explicit_stance,3,
L066,opposes,analytical_exposition,3,
L113,supports,explicit_stance,3,
L060,opposes,analytical_exposition,3,
L141,supports,explicit_stance,3,
L049,opposes,voiced_continuation,3,
L061,supports,analytical_exposition,3,
L059,supports,explicit_stance,3,
L084,opposes,explicit_stance,3,
L088,supports,analytical_exposition,3,
L136,supports,analytical_exposition,3,
L002,opposes,explicit_stance,3,
L048,opposes,analytical_exposition,3,
L124,opposes,explicit_stance,3,
L076,supports,explicit_stance,3,
L053,supports,explicit_stance,3,
L014,supports,explicit_stance,3,
L095,opposes,explicit_stance,3,
L012,opposes,explicit_stance,3,
L106,supports,explicit_stance,3,
L123,supports,analytical_exposition,3,
L107,opposes,analytical_exposition,3,
L111,supports,explicit_stance,3,
L024,supports,explicit_stance,3,
L104,supports,explicit_stance,3,
L135,supports,explicit_stance,3,
L008,opposes,explicit_stance,3,
L092,opposes,analytical_exposition,3,
L067,opposes,explicit_stance,3,
L020,opposes,explicit_stance,3,
L122,opposes,analytical_exposition,3,
L039,opposes,analytical_exposition,3,
L082,supports,explicit_stance,3,
L030,supports,explicit_stance,3,
L145,supports,explicit_stance,3,
L028,supports,voiced_continuation,3,
L112,opposes,explicit_stance,3,
L134,unclear,other,2,Lists stance options without selecting one.
L009,supports,analytical_exposition,3,
L128,supports,analytical_exposition,3,
L035,opposes,explicit_stance,3,
L094,supports,analytical_exposition,3,
L046,unclear,empty,2,Prompt only; no substantive response.
L015,supports,analytical_exposition,3,
L137,opposes,explicit_stance,3,
L085,opposes,analytical_exposition,3,
L103,mixed_or_conditional,incomplete,2,Response is truncated and contains conflicting repeated alternatives.
L101,supports,explicit_stance,3,
L045,supports,explicit_stance,3,
L133,supports,analytical_exposition,3,
L118,supports,explicit_stance,3,
