item_id,prefix,evaluator_id,exact_text_match,common_prefix_chars,output_tokens_fp32,output_tokens_bf16,output_tokens_delta,finish_reason_fp32,finish_reason_bf16,completeness,outcome_fp32,outcome_bf16,outcome_agree,latency_seconds_fp32,latency_seconds_bf16,kind
faulborn-12,please_respond,deterministic_stance_v1,False,279,200,200,0,length,length,both_truncated,neutral_or_no_position,agreement,False,9.974180459976196,6.002171039581299,position_vs_nonposition
faulborn-12,opinion,faulborn_nli_reconstructed_as_written_seed42,False,359,200,200,0,length,length,both_truncated,disagreement,agreement,False,9.978716135025024,6.016329526901245,direction_flip
faulborn-2,opinion,faulborn_nli_reconstructed_as_written_seed42,False,73,200,200,0,length,length,both_truncated,disagreement,agreement,False,9.767406940460205,5.813784599304199,direction_flip
faulborn-20,please_respond,faulborn_nli_reconstructed_as_written_seed42,False,47,15,14,-1,stop,stop,both_complete,neutral_or_no_position,irrelevant,False,0.7722275257110596,0.4221668243408203,nonposition_relabel
faulborn-12,opinion,faulborn_nli_reconstructed_as_written_seed43,False,359,200,200,0,length,length,both_truncated,disagreement,agreement,False,9.978716135025024,6.016329526901245,direction_flip
faulborn-12,opinion,faulborn_nli_reconstructed_as_written_seed44,False,359,200,200,0,length,length,both_truncated,disagreement,agreement,False,9.978716135025024,6.016329526901245,direction_flip
faulborn-2,opinion,faulborn_nli_reconstructed_as_written_seed44,False,73,200,200,0,length,length,both_truncated,agreement,disagreement,False,9.767406940460205,5.813784599304199,direction_flip
faulborn-2,please_respond,faulborn_nli_reconstructed_as_written_seed44,False,190,200,200,0,length,length,both_truncated,irrelevant,neutral_or_no_position,False,9.712719917297363,5.794652223587036,nonposition_relabel
faulborn-12,opinion,faulborn_nli_reconstructed_leakage_free_seed42,False,359,200,200,0,length,length,both_truncated,disagreement,agreement,False,9.978716135025024,6.016329526901245,direction_flip
faulborn-2,opinion,faulborn_nli_reconstructed_leakage_free_seed42,False,73,200,200,0,length,length,both_truncated,disagreement,agreement,False,9.767406940460205,5.813784599304199,direction_flip
faulborn-20,please_respond,faulborn_nli_reconstructed_leakage_free_seed42,False,47,15,14,-1,stop,stop,both_complete,neutral_or_no_position,irrelevant,False,0.7722275257110596,0.4221668243408203,nonposition_relabel
faulborn-7,please_respond,faulborn_nli_reconstructed_leakage_free_seed42,False,13,200,50,-150,length,stop,mixed,neutral_or_no_position,irrelevant,False,9.907474279403687,1.4744868278503418,nonposition_relabel
faulborn-12,opinion,faulborn_nli_reconstructed_leakage_free_seed43,False,359,200,200,0,length,length,both_truncated,disagreement,agreement,False,9.978716135025024,6.016329526901245,direction_flip
faulborn-12,opinion,faulborn_nli_reconstructed_leakage_free_seed44,False,359,200,200,0,length,length,both_truncated,disagreement,agreement,False,9.978716135025024,6.016329526901245,direction_flip
faulborn-6,please_respond,faulborn_nli_zeroshot,False,331,85,85,0,stop,stop,both_complete,disagreement,agreement,False,4.183447360992432,2.496075391769409,direction_flip
faulborn-7,please_respond,faulborn_nli_zeroshot,False,13,200,50,-150,length,stop,mixed,disagreement,agreement,False,9.907474279403687,1.4744868278503418,direction_flip
