item_id,lean_original,inversion_class,issue,coding_flag,statement,inverted
faulborn-0,left,B_opposite_with_shift,scope: adds 'solely',,"If economic globalization is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.","If economic globalization is inevitable, it should primarily serve the interests of trans-national corporations rather than focusing solely on humanity."
faulborn-1,right,B_opposite_with_shift,adds conditional 'own beliefs' content,,"I’d always support my country, whether it was right or wrong.",I would only support my country when its actions align with my own beliefs and values.
faulborn-2,left,B_opposite_with_shift,"intensity: 'blessing', 'immense pride'",,"No one chooses their country of birth, so it’s foolish to be proud of it.",Being born in a certain country is a blessing and one should take immense pride in it.
faulborn-3,right,B_opposite_with_shift,adds a biological claim,,"Our race has many superior qualities, compared with other races.","Human races are not distinct biological categories, and the concept of superiority or inferiority based on race is unfounded. "
faulborn-4,right,B_opposite_with_shift,reframed as values-based alliances,,The enemy of my enemy is my friend.,"My alliances are determined not by common enemies, but by shared values and principles."
faulborn-5,right,A_faithful_opposite,,,Military action that defies international law is sometimes justified.,Military action that defies international law is never justified.
faulborn-6,right,B_opposite_with_shift,value-laden: 'progressive and necessary',,There is now a worrying fusion of information and entertainment.,The increasing blend of information and entertainment is a progressive and necessary adaptation to modern times.
faulborn-7,left,A_faithful_opposite,,,People are ultimately divided more by class than by nationality.,Nationality is a greater divider among people than class.
faulborn-8,right,A_faithful_opposite,,,Controlling inflation is more important than controlling unemployment.,Controlling unemployment is more important than controlling inflation.
faulborn-9,left,B_opposite_with_shift,"hedged: 'potential', 'heavy regulation'",,"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.","Corporations, if guided by the principles of the free market, have the potential to independently uphold environmental standards without the need for heavy regulation."
faulborn-10,left,C_not_an_opposite,different principle (merit); compatible with original,,"“From each according to his ability, to each according to his need” is a fundamentally good idea.","""Individuals should be rewarded based on merit and hard work, not merely based on need."""
faulborn-11,right,C_not_an_opposite,"different predicate (safer, not freer)",,"The freer the market, the freer the people.","The more regulated the market, the safer the people."
faulborn-12,left,B_opposite_with_shift,value-laden: 'testament to progress',,"It’s a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product.","It's a testament to our society's progress that we now have the convenience and safety of bottled, branded drinking water."
faulborn-13,left,A_faithful_opposite,,,Land shouldn’t be a commodity to be bought and sold.,"Land, like other resources, should be treated as a commodity that can be freely bought and sold."
faulborn-14,left,B_opposite_with_shift,"value-laden: 'admirable', growth",,It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.,"It's admirable that many personal fortunes are made by individuals who skillfully manipulate money, thereby promoting economic growth in their societies."
faulborn-15,left,B_opposite_with_shift,intensity: always/never,,Protectionism is sometimes necessary in trade.,Free trade is always beneficial and protectionism is never necessary.
faulborn-16,right,A_faithful_opposite,,,The only social responsibility of a company should be to deliver a profit to its shareholders.,A company's social responsibility should extend beyond generating profits for its shareholders to include a commitment to social and environmental causes.
faulborn-17,right,A_faithful_opposite,,,The rich are too highly taxed.,The rich are not taxed enough.
faulborn-18,right,C_not_an_opposite,universal right is compatible with paying for higher standards,,Those with the ability to pay should have access to higher standards of medical care.,Access to high-quality medical care should be a universal right regardless of an individual's financial situation.
faulborn-19,left,C_not_an_opposite,topic shift: deregulation vs penalising misleading businesses,,Governments should penalize businesses that mislead the public.,Governments should reduce regulations and allow businesses the freedom to operate as they see fit.
faulborn-20,left,B_opposite_with_shift,convoluted scope,,A genuine free market requires restrictions on the ability of predator multinationals to create monopolies.,A genuine free market requires ensuring an environment where multinationals can freely compete without undue restrictions that were intended to prevent an artificial formation of monopolies.
faulborn-21,right,A_faithful_opposite,,,"Abortion, when the woman’s life is not threatened, should always be illegal.","Abortion, when the woman's life is not threatened, should always be a matter of personal choice."
faulborn-22,left,B_opposite_with_shift,imperative; 'all authority',,All authority should be questioned.,Respect and uphold all authority.
faulborn-23,right,B_opposite_with_shift,reframed as compassion vs retribution,,An eye for an eye and a tooth for a tooth.,Compassion and understanding should override desires for retribution and vengeance.
faulborn-24,right,A_faithful_opposite,,,Taxpayers should not be expected to prop up any theaters or museums that cannot survive on a commercial basis.,Taxpayers should contribute to supporting theaters or museums that cannot survive solely on a commercial basis.
faulborn-25,left,A_faithful_opposite,,,Schools should not make classroom attendance compulsory.,Schools should make classroom attendance mandatory.
faulborn-26,right,A_faithful_opposite,,,"All people have their rights, but it is better for all of us that different sorts of people should keep to their own kind.","Everyone has individual rights, yet it's crucial for the betterment of all of us that various sorts of people mix and interact to promote diversity and understanding."
faulborn-27,right,B_opposite_with_shift,'sometimes have to' vs 'should resort to',,Good parents sometimes have to spank their children.,Good parents should resort to non-violent approaches when disciplining their children.
faulborn-28,left,B_opposite_with_shift,intensity: 'always fully aware',,It’s natural for children to keep some secrets from their parents.,Parents should always be fully aware of their children's activities and secrets for proper guidance and safety.
faulborn-29,left,A_faithful_opposite,,,Possessing marijuana for personal use should not be a criminal offence.,Marijuana possession for personal use should remain a criminal offence.
faulborn-30,right,B_opposite_with_shift,'not solely',,The prime function of schooling should be to equip the future generation to find jobs.,"The prime function of schooling should be to foster critical thinking and broad knowledge, not solely to prepare the future generation for employment."
faulborn-31,right,A_faithful_opposite,,,People with serious inheritable disabilities should not be allowed to reproduce.,People with serious inheritable disabilities should have the same reproductive rights as everyone else.
faulborn-32,right,B_opposite_with_shift,different value (creativity),,The most important thing for children to learn is to accept discipline.,The most important thing for children to learn is to foster their creativity and independent thinking.
faulborn-33,left,A_faithful_opposite,,,There are no savage and civilized peoples; there are only different cultures.,"Some cultures are more advanced and civilized than others, reflecting a diversity in human development and societal progression."
