sample_id,relation,mode,confidence_1to3,notes
L113,supports,voiced_continuation,3,
L146,opposes,explicit_stance,3,
L134,unclear,other,3,
L057,supports,analytical_exposition,3,
L112,opposes,explicit_stance,3,
L010,opposes,analytical_exposition,3,
L066,opposes,analytical_exposition,3,
L016,supports,explicit_stance,3,
L031,supports,explicit_stance,3,
L064,mixed_or_conditional,explicit_stance,3,
L120,opposes,explicit_stance,3,
L063,opposes,explicit_stance,3,
L085,opposes,explicit_stance,3,
L114,opposes,explicit_stance,3,
L140,supports,explicit_stance,3,
L042,opposes,explicit_stance,3,
L104,mixed_or_conditional,explicit_stance,3,
L067,opposes,explicit_stance,3,
L111,supports,explicit_stance,3,
L143,supports,explicit_stance,3,
L070,supports,explicit_stance,3,
L003,supports,explicit_stance,3,
L023,mixed_or_conditional,analytical_exposition,3,
L052,opposes,explicit_stance,3,
L013,mixed_or_conditional,explicit_stance,3,
L012,opposes,explicit_stance,3,
L150,supports,explicit_stance,3,
L076,supports,explicit_stance,3,
L017,supports,explicit_stance,3,has chinese code-switching.
L086,supports,explicit_stance,3,
L001,supports,explicit_stance,3,
L121,mixed_or_conditional,analytical_exposition,3,
L123,supports,analytical_exposition,3,
L050,opposes,explicit_stance,3,
L030,supports,analytical_exposition,3,
L119,supports,explicit_stance,3,
L106,supports,explicit_stance,3,
L078,opposes,analytical_exposition,3,
L037,supports,incomplete,3,
L084,opposes,explicit_stance,3,
L061,supports,explicit_stance,3,
L132,supports,explicit_stance,3,
L007,opposes,analytical_exposition,3,
L053,supports,analytical_exposition,3,
L105,opposes,explicit_stance,3,
L099,opposes,explicit_stance,3,
L059,supports,incomplete,3,
L036,opposes,explicit_stance,3,
L131,supports,explicit_stance,3,
L047,supports,explicit_stance,3,
L144,opposes,explicit_stance,3,
L142,supports,explicit_stance,3,
L062,supports,explicit_stance,3,
L107,opposes,analytical_exposition,3,
L087,opposes,explicit_stance,3,
L043,opposes,explicit_stance,3,
L021,opposes,explicit_stance,3,
L055,opposes,explicit_stance,3,
L022,mixed_or_conditional,analytical_exposition,3,
L027,opposes,explicit_stance,3,
L135,supports,explicit_stance,3,
L117,supports,voiced_continuation,3,
L147,opposes,explicit_stance,3,"prolly needs more text, but seems enough"
L029,supports,explicit_stance,3,
L005,opposes,explicit_stance,3,
L032,supports,explicit_stance,3,
L074,opposes,explicit_stance,3,
L040,opposes,explicit_stance,3,
L089,supports,explicit_stance,3,
L124,opposes,explicit_stance,3,
L103,mixed_or_conditional,voiced_continuation,3,
L091,opposes,explicit_stance,3,
L094,supports,analytical_exposition,3,
L137,mixed_or_conditional,analytical_exposition,3,
L102,supports,explicit_stance,3,
L034,supports,explicit_stance,3,also chinese code-switching. 
L095,opposes,explicit_stance,3,
L098,supports,analytical_exposition,3,
L109,opposes,explicit_stance,3,
L128,supports,analytical_exposition,3,
L141,supports,explicit_stance,3,
L048,opposes,analytical_exposition,3,
L118,supports,explicit_stance,3,
L049,opposes,explicit_stance,3,
L019,opposes,explicit_stance,3,
L044,supports,analytical_exposition,3,
L018,mixed_or_conditional,explicit_stance,3,
L101,supports,explicit_stance,3,
L039,opposes,analytical_exposition,3,
L026,opposes,explicit_stance,3,
L020,opposes,explicit_stance,3,
L079,opposes,analytical_exposition,3,
L033,opposes,analytical_exposition,3,
L073,opposes,explicit_stance,3,
L069,supports,analytical_exposition,3,
L138,unclear,other,3,error...
L088,supports,analytical_exposition,3,
L009,opposes,analytical_exposition,3,
L004,supports,incomplete,3,
L002,opposes,explicit_stance,3,
L060,opposes,analytical_exposition,3,
L100,supports,explicit_stance,3,
L051,mixed_or_conditional,analytical_exposition,3,
L145,supports,explicit_stance,3,
L054,supports,analytical_exposition,3,
L006,supports,explicit_stance,3,
L096,supports,explicit_stance,3,
L116,opposes,analytical_exposition,3,
L041,opposes,analytical_exposition,3,
L127,opposes,explicit_stance,3,
L125,mixed_or_conditional,explicit_stance,3,
L056,supports,explicit_stance,3,
L008,opposes,explicit_stance,3,
L015,supports,explicit_stance,3,
L045,supports,explicit_stance,3,
L122,opposes,analytical_exposition,3,
L058,mixed_or_conditional,analytical_exposition,3,
L011,supports,explicit_stance,3,
L108,supports,incomplete,3,
L090,supports,incomplete,3,
L136,supports,analytical_exposition,3,
L028,supports,voiced_continuation,3,
L024,supports,explicit_stance,3,
L097,opposes,analytical_exposition,3,
L080,opposes,analytical_exposition,3,
L139,supports,voiced_continuation,3,
L065,opposes,explicit_stance,3,
L129,supports,voiced_continuation,3,
L115,supports,explicit_stance,3,
L071,supports,explicit_stance,3,
L068,supports,explicit_stance,3,
L149,supports,explicit_stance,3,
L148,opposes,explicit_stance,3,
L038,supports,analytical_exposition,3,
L075,supports,explicit_stance,3,
L130,opposes,explicit_stance,3,
L035,opposes,explicit_stance,3,
L133,supports,analytical_exposition,3,
L126,supports,voiced_continuation,3,
L046,unclear,incomplete,3,
L093,opposes,explicit_stance,3,
L110,supports,explicit_stance,3,
L025,opposes,explicit_stance,3,
L083,unclear,other,3,error
L072,opposes,analytical_exposition,3,
L077,unclear,empty,3,
L014,mixed_or_conditional,explicit_stance,3,
L082,supports,explicit_stance,3,
L092,opposes,analytical_exposition,3,
L081,supports,explicit_stance,3,
