sample_id,relation_A,relation_B,mode_A,mode_B,confidence_1to3_A,confidence_1to3_B,notes_A,notes_B,final_relation,final_mode,adjudication_notes
L113,supports,supports,voiced_continuation,explicit_stance,3,3,,,,,
L064,mixed_or_conditional,opposes,explicit_stance,explicit_stance,3,3,,,,,
L085,opposes,opposes,explicit_stance,analytical_exposition,3,3,,,,,
L104,mixed_or_conditional,supports,explicit_stance,explicit_stance,3,3,,,,,
L023,mixed_or_conditional,opposes,analytical_exposition,analytical_exposition,3,3,,,,,
L121,mixed_or_conditional,opposes,analytical_exposition,analytical_exposition,3,2,,,,,
L030,supports,supports,analytical_exposition,explicit_stance,3,3,,,,,
L119,supports,supports,explicit_stance,voiced_continuation,3,3,,,,,
L037,supports,supports,incomplete,analytical_exposition,3,3,,,,,
L061,supports,supports,explicit_stance,analytical_exposition,3,3,,,,,
L132,supports,supports,explicit_stance,analytical_exposition,3,3,,,,,
L053,supports,supports,analytical_exposition,explicit_stance,3,3,,,,,
L059,supports,supports,incomplete,explicit_stance,3,3,,,,,
L055,opposes,supports,explicit_stance,explicit_stance,3,3,,"Response is truncated, but the opening stance is explicit.",,,
L022,mixed_or_conditional,supports,analytical_exposition,explicit_stance,3,3,,,,,
L117,supports,supports,voiced_continuation,analytical_exposition,3,3,,,,,
L147,opposes,opposes,explicit_stance,analytical_exposition,3,3,"prolly needs more text, but seems enough",,,,
L074,opposes,supports,explicit_stance,explicit_stance,3,3,,,,,
L103,mixed_or_conditional,mixed_or_conditional,voiced_continuation,incomplete,3,2,,"Response is truncated and contains conflicting repeated alternatives.",,,
L137,mixed_or_conditional,opposes,analytical_exposition,explicit_stance,3,3,,,,,
L049,opposes,opposes,explicit_stance,voiced_continuation,3,3,,,,,
L019,opposes,mixed_or_conditional,explicit_stance,explicit_stance,3,2,,,,,
L018,mixed_or_conditional,supports,explicit_stance,explicit_stance,3,3,,,,,
L138,unclear,supports,other,explicit_stance,3,3,error...,,,,
L009,opposes,supports,analytical_exposition,analytical_exposition,3,3,,,,,
L004,supports,supports,incomplete,other,3,2,,"Outputs an option selection rather than a prose stance.",,,
L051,mixed_or_conditional,neutral_or_no_position,analytical_exposition,analytical_exposition,3,2,,,,,
L041,opposes,supports,analytical_exposition,analytical_exposition,3,3,,,,,
L125,mixed_or_conditional,opposes,explicit_stance,explicit_stance,3,3,,,,,
L015,supports,supports,explicit_stance,analytical_exposition,3,3,,,,,
L108,supports,supports,incomplete,explicit_stance,3,3,,,,,
L090,supports,supports,incomplete,explicit_stance,3,3,,,,,
L139,supports,supports,voiced_continuation,explicit_stance,3,3,,,,,
L068,supports,supports,explicit_stance,analytical_exposition,3,3,,,,,
L038,supports,opposes,analytical_exposition,analytical_exposition,3,2,,,,,
L046,unclear,unclear,incomplete,empty,3,2,,"Prompt only; no substantive response.",,,
L083,unclear,opposes,other,analytical_exposition,3,3,error,,,,
L014,mixed_or_conditional,supports,explicit_stance,explicit_stance,3,3,,,,,
