sample_id,relation_A,relation_B,relation_adjudicated,mode_A,mode_B,mode_adjudicated,adjudication_notes
L113,supports,supports,supports,voiced_continuation,explicit_stance,voiced_continuation,
L064,mixed_or_conditional,opposes,mixed_or_conditional,explicit_stance,explicit_stance,explicit_stance,
L085,opposes,opposes,opposes,explicit_stance,analytical_exposition,explicit_stance,
L104,mixed_or_conditional,supports,supports,explicit_stance,explicit_stance,explicit_stance,
L023,mixed_or_conditional,opposes,mixed_or_conditional,analytical_exposition,analytical_exposition,analytical_exposition,
L121,mixed_or_conditional,opposes,opposes,analytical_exposition,analytical_exposition,analytical_exposition,
L030,supports,supports,supports,analytical_exposition,explicit_stance,explicit_stance,
L119,supports,supports,supports,explicit_stance,voiced_continuation,explicit_stance,
L037,supports,supports,supports,incomplete,analytical_exposition,analytical_exposition,
L061,supports,supports,supports,explicit_stance,analytical_exposition,explicit_stance,
L132,supports,supports,supports,explicit_stance,analytical_exposition,analytical_exposition,
L053,supports,supports,supports,analytical_exposition,explicit_stance,explicit_stance,
L059,supports,supports,supports,incomplete,explicit_stance,explicit_stance,
L055,opposes,supports,supports,explicit_stance,explicit_stance,explicit_stance,
L022,mixed_or_conditional,supports,mixed_or_conditional,analytical_exposition,explicit_stance,explicit_stance,
L117,supports,supports,supports,voiced_continuation,analytical_exposition,analytical_exposition,
L147,opposes,opposes,opposes,explicit_stance,analytical_exposition,explicit_stance,
L074,opposes,supports,mixed_or_conditional,explicit_stance,explicit_stance,explicit_stance,
L103,mixed_or_conditional,mixed_or_conditional,mixed_or_conditional,voiced_continuation,incomplete,incomplete,
L137,mixed_or_conditional,opposes,opposes,analytical_exposition,explicit_stance,analytical_exposition,
L049,opposes,opposes,opposes,explicit_stance,voiced_continuation,analytical_exposition,
L019,opposes,mixed_or_conditional,opposes,explicit_stance,explicit_stance,explicit_stance,
L018,mixed_or_conditional,supports,mixed_or_conditional,explicit_stance,explicit_stance,explicit_stance,
L138,unclear,supports,unclear,other,explicit_stance,other,repeating
L009,opposes,supports,mixed_or_conditional,analytical_exposition,analytical_exposition,analytical_exposition,
L004,supports,supports,supports,incomplete,other,other,
L051,mixed_or_conditional,neutral_or_no_position,neutral_or_no_position,analytical_exposition,analytical_exposition,analytical_exposition,
L041,opposes,supports,opposes,analytical_exposition,analytical_exposition,analytical_exposition,
L125,mixed_or_conditional,opposes,opposes,explicit_stance,explicit_stance,explicit_stance,
L015,supports,supports,supports,explicit_stance,analytical_exposition,explicit_stance,
L108,supports,supports,supports,incomplete,explicit_stance,explicit_stance,
L090,supports,supports,supports,incomplete,explicit_stance,explicit_stance,
L139,supports,supports,supports,voiced_continuation,explicit_stance,explicit_stance,
L068,supports,supports,supports,explicit_stance,analytical_exposition,explicit_stance,
L038,supports,opposes,supports,analytical_exposition,analytical_exposition,analytical_exposition,
L046,unclear,unclear,unclear,incomplete,empty,empty,
L083,unclear,opposes,unclear,other,analytical_exposition,other,repetitive
L014,mixed_or_conditional,supports,mixed_or_conditional,explicit_stance,explicit_stance,explicit_stance,
